ID,Make,Model,Year,Trim,Trim (description),Base MSRP,Body type,Length (in),Width (in),Height (in),Wheelbase (in),Curb weight (lbs),Cylinders,Engine size (l),Horsepower (HP),Horsepower (rpm),Torque (ft-lbs),Torque (rpm),Drive type,Transmission,Engine type,Fuel type,Fuel tank capacity (gal),EPA combined MPG,EPA city/highway MPG,Range in miles (city/hwy),Country of origin,Car classification,Platform code / generation number
401994177,BMW,3 Series,2024,330i,330i 4dr Sedan (2.0L 4cyl Turbo 8A),"$44,500",Sedan,185.9,71.9,56.8,112.2,3536,I4,2,255,5000,295,1550,rear wheel drive,8-speed shiftable automatic,gas,premium unleaded (required),15.6,29,25/34 MPG,390.0/530.4 mi.,Europe/Germany,Compact car,G20
402004583,BMW,3 Series,2024,330i xDrive,330i xDrive 4dr Sedan AWD (2.0L 4cyl Turbo 8A),"$46,500",Sedan,185.9,71.9,57,112.2,3671,I4,2,255,5000,295,1550,all wheel drive,8-speed shiftable automatic,gas,premium unleaded (required),15.6,27,24/33 MPG,374.4/514.8 mi.,Europe/Germany,Compact car,G20
402004581,BMW,3 Series,2024,330e,330e 4dr Sedan (2.0L 4cyl Turbo gas/electric plug-in hybrid 8A),"$45,600",Sedan,185.9,71.9,56.9,112.2,4083,I4,2,288,,310,,rear wheel drive,8-speed shiftable automatic,plug-in hybrid,premium unleaded (required),10.6,27,24/32 MPG,254.4/339.2 mi.,Europe/Germany,Compact car,G20
402004580,BMW,3 Series,2024,M340i xDrive,M340i xDrive 4dr Sedan AWD (3.0L 6cyl Turbo gas/electric mild hybrid 8A),"$59,600",Sedan,185.9,71.9,56.7,112.2,3951,I6,3,382,5800,369,1800,all wheel drive,8-speed shiftable automatic,mild hybrid,premium unleaded (required),15.6,26,23/31 MPG,358.8/483.6 mi.,Europe/Germany,Compact car,G20
402004579,BMW,3 Series,2024,M340i,M340i 4dr Sedan (3.0L 6cyl Turbo gas/electric mild hybrid 8A),"$57,600",Sedan,185.9,71.9,56.4,112.2,3834,I6,3,382,5800,369,1800,rear wheel drive,8-speed shiftable automatic,mild hybrid,premium unleaded (required),15.6,26,23/31 MPG,358.8/483.6 mi.,Europe/Germany,Compact car,G20
402004582,BMW,3 Series,2024,330e xDrive,330e xDrive 4dr Sedan AWD (2.0L 4cyl Turbo gas/electric plug-in hybrid 8A),"$47,600",Sedan,185.9,71.9,56.9,112.2,4180,I4,2,288,,310,,all wheel drive,8-speed shiftable automatic,plug-in hybrid,premium unleaded (required),10.6,26,22/32 MPG,233.2/339.2 mi.,Europe/Germany,Compact car,G20
402010102,BMW,3 Series,2024,M3 Competition xDrive,M3 Competition xDrive 4dr Sedan AWD (3.0L 6cyl Turbo 8A),"$84,300",Sedan,189.1,74.3,56.5,112.5,3990,I6,3,503,6250,479,2750,all wheel drive,8-speed automatic,gas,premium unleaded (required),15.6,18,16/22 MPG,249.6/343.2 mi.,Europe/Germany,Compact car,G20
401977206,BMW,3 Series,2024,M3,M3 4dr Sedan (3.0L 6cyl Turbo 6M),"$76,000",Sedan,189.1,74.3,56.4,112.5,3840,I6,3,473,6250,406,2650,rear wheel drive,6-speed manual,gas,premium unleaded (required),15.6,19,16/23 MPG,249.6/358.8 mi.,Europe/Germany,Compact car,G20
402010103,BMW,3 Series,2024,M3 Competition,M3 Competition 4dr Sedan (3.0L 6cyl Turbo 8A),"$80,200",Sedan,189.1,74.3,56.4,112.5,3890,I6,3,503,6250,479,2750,rear wheel drive,8-speed automatic,gas,premium unleaded (required),15.6,19,16/23 MPG,249.6/358.8 mi.,Europe/Germany,Compact car,G20
401986528,BMW,3 Series,2024,M3 CS,M3 CS 4dr Sedan AWD (3.0L 6cyl Turbo 8A),"$118,700",Sedan,188.8,75.5,56.6,112.5,3915,I6,3,543,6250,479,2750,all wheel drive,8-speed automatic,gas,premium unleaded (required),15.6,18,15/22 MPG,234.0/343.2 mi.,Europe/Germany,Compact car,G20
